Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;AvgHome;golshtAway;totalAway;AvgAway;pHome;pAway;Sum;Times
33;19/05/2023;14:00;BOTSWANA;PREMIER LEAGUE - ROUND 28;Security Systems;Sua Flamingoes;29;39;1,3333;29;43;1,2558;0,7436;0,6744;1,418;0,5015
34;19/05/2023;19:00;BRAZIL;SERIE B - ROUND 7;Mirassol;Vitoria;30;43;1,1628;26;43;1,0698;0,6977;0,6047;1,3024;0,4219
35;19/05/2023;19:00;BRAZIL;SERIE B - ROUND 7;Tombense;Londrina;29;43;1,186;23;43;0,7907;0,6744;0,5349;1,2093;0,3607
36;19/05/2023;21:30;BRAZIL;SERIE B - ROUND 7;Atletico GO;Avai;32;43;1,2326;24;43;0,7907;0,7442;0,5581;1,3023;0,4153
37;19/05/2023;11:00;BULGARIA;PARVA LIGA - CONFERENCE LEAGUE GROUP - ROUND 32;Slavia Sofia;Arda;30;43;0,9535;29;43;0,9535;0,6977;0,6744;1,3721;0,4705
38;19/05/2023;13:15;BULGARIA;PARVA LIGA - CONFERENCE LEAGUE GROUP - ROUND 32;Botev Plovdiv;Lok. Sofia;28;42;1,3095;28;42;1,2857;0,6667;0,6667;1,3334;0,4445
39;19/05/2023;13:00;BURKINA FASO;PREMIER LEAGUE - ROUND 30;ASF Dioulasso;ASEC Koudougou;21;43;0,7209;20;42;0,8333;0,4884;0,4762;0,9646;0,2326
40;19/05/2023;13:00;BURKINA FASO;PREMIER LEAGUE - ROUND 30;USFA;Bobo-Dioulasso;23;43;0,6977;28;43;1,0;0,5349;0,6512;1,1861;0,3483
41;19/05/2023;11:00;CAMEROON;ELITE ONE - RELEGATION - PLAY OFFS - FINAL;Yong Sports Academy;Eding Sport;25;42;1,0;15;37;0,5946;0,5952;0,4054;1,0006;0,2413
42;19/05/2023;20:00;CANADA;CANADIAN PREMIER LEAGUE;Forge;Vancouver FC;32;43;1,2093;4;6;1,3333;0,7442;0,6667;1,4109;0,4962
43;19/05/2023;16:30;CHILE;PRIMERA DIVISION - ROUND 15;Palestino;O'Higgins;33;42;1,2857;22;43;0,7907;0,7857;0,5116;1,2973;0,402
44;19/05/2023;19:00;CHILE;PRIMERA DIVISION - ROUND 15;A. Italiano;Huachipato;30;43;1,3953;32;43;1,3023;0,6977;0,7442;1,4419;0,5192
45;19/05/2023;21:30;CHILE;PRIMERA DIVISION - ROUND 15;Coquimbo;Magallanes;26;42;1,0714;31;43;1,3023;0,619;0,7209;1,3399;0,4462
46;19/05/2023;21:00;CHILE;SEGUNDA DIVISION - ROUND 11;Limache;General Velasquez;27;42;1,0714;27;42;1,2143;0,6429;0,6429;1,2858;0,4133
